Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~schlage_attack_board.PrjPcb|ReportField=ProjectFullPath~C:\Users\colin\Dropbox (NewAE Technology Inc)\engineering\research\targets\schlage_locks\connect\attack_board\schlage_attack_board\schlage_attack_board.PrjPcb|ReportField=Title~Bill of Materials For Project [schlage_attack_board.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~53|ReportField=ReportTime~9:52:16 PM|ReportField=ReportDate~06/02/2017|ReportField=ReportDateTime~06/02/2017 9:52:16 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=PrjLicense~<Select License>|ReportField=PrjName~<Enter Project Name>|ReportField=PrjRev~00|ReportField=Address1~1083 Queen St., Suite 196|ReportField=Address2~Halifax|ReportField=Address3~NS|ReportField=Address4~Canada B3H 0B2|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~06/02/2017|ReportField=CurrentTime~9:50:16 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\colin\Dropbox (NewAE Technology Inc)\engineering\research\targets\schlage_locks\connect\attack_board\schlage_attack_board\attack_board.SchDoc|ReportField=DocumentName~attack_board.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~30/01/2017|ReportField=Organization~NewAE Technology Inc.|ReportField=ProjectName~schlage_attack_board.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetApproved~NO|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~<Enter Sheet Title>|ReportField=DataSourceFileName~schlage_attack_board.PrjPcb|ReportField=DataSourceFullPath~C:\Users\colin\Dropbox (NewAE Technology Inc)\engineering\research\targets\schlage_locks\connect\attack_board\schlage_attack_board\schlage_attack_board.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
13|100n|100n, 0603|C13|CAPC0603_M|CCHIP-100n-0603|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|||{URL}{URL.TEXT}{URL.TIP}Supplier
14|18p|18p, 0402|C14|CAPC0402_M|CCHIP-18p-0402|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|||{URL}{URL.TEXT}{URL.TIP}Supplier
15|18p|18p, 0402|C15|CAPC0402_M|CCHIP-18p-0402|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|||{URL}{URL.TEXT}{URL.TIP}Supplier
16|6-PIN|1.25MM, 6POS, VERT SMD|J1|10114828-10106LF|10114828-10106LF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520FCI%26mpn%3D10114828-10106LF%26seller%3DDigi-Key%26sku%3D609-4390-1-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Amphenol%20FCI{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520FCI%26mpn%3D10114828-10106LF%26seller%3DDigi-Key%26sku%3D609-4390-1-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}10114828-10106LF{URL.TIP}Manufacturer|1|Digi-Key|CAD|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520FCI%26mpn%3D10114828-10106LF%26seller%3DDigi-Key%26sku%3D609-4390-1-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}609-4390-1-ND{URL.TIP}Supplier
17|1296-T10|Header, 10-pin, SMD, 0.05"|J2|1296-T10|1296-T10|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|||{URL}{URL.TEXT}{URL.TIP}Supplier
18|||J3|SMTC-TSW-106-08-X-S-RA|CMP-1024-00388-1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|||{URL}{URL.TEXT}{URL.TIP}Supplier
19|||J4|SMTC-DW-02-16-X-S-200|CMP-1024-00001-1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|||{URL}{URL.TEXT}{URL.TIP}Supplier
20|||J5|SMTC-DW-02-16-X-S-200|CMP-1024-00001-1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|||{URL}{URL.TEXT}{URL.TIP}Supplier
21|7-Seg, SMD, CC|7-Seg, CC|LED1||ACSC03|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|||{URL}{URL.TEXT}{URL.TIP}Supplier
22|7-Seg, SMD, CC|7-Seg, CC|LED2||ACSC03|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|1|||{URL}{URL.TEXT}{URL.TIP}Supplier
